iter	Passed	Remaining
0	66	99565
1	131	98527
2	198	99201
3	258	96492
4	313	93676
5	374	93144
6	445	95053
7	532	99299
8	601	99632
9	672	100230
10	732	99182
11	786	97494
12	849	97195
13	913	96972
14	968	95840
15	1026	95228
16	1091	95182
17	1157	95271
18	1241	96774
19	1305	96640
20	1368	96359
21	1434	96338
22	1506	96711
23	1573	96752
24	1639	96718
25	1697	96256
26	1764	96276
27	1844	96967
28	1918	97304
29	1982	97142
30	2051	97207
31	2110	96839
32	2173	96609
33	2236	96413
34	2303	96425
35	2359	95952
36	2421	95752
37	2485	95609
38	2582	96730
39	2648	96687
40	2709	96427
41	2785	96711
42	2853	96681
43	2909	96274
44	2974	96173
45	3044	96227
46	3116	96353
47	3183	96314
48	3248	96201
49	3311	96038
50	3371	95791
51	3436	95685
52	3500	95578
53	3621	96966
54	3720	97748
55	3788	97680
56	3843	97291
57	3901	96986
58	3980	97224
59	4049	97189
60	4112	97004
61	4180	96965
62	4249	96929
63	4315	96830
64	4377	96651
65	4442	96528
66	4512	96522
67	4581	96476
68	4638	96196
69	4734	96716
70	4824	97107
71	4894	97078
72	4954	96855
73	5021	96774
74	5085	96624
75	5142	96355
76	5204	96190
77	5269	96075
78	5335	95971
79	5396	95780
80	5464	95737
81	5530	95640
82	5588	95400
83	5650	95251
84	5722	95258
85	5793	95252
86	5859	95164
87	5918	94967
88	5976	94747
89	6044	94696
90	6101	94476
91	6161	94292
92	6227	94211
93	6296	94176
94	6357	94019
95	6414	93806
96	6480	93731
97	6553	93750
98	6620	93694
99	6680	93531
100	6808	94303
101	6878	94279
102	6944	94193
103	7077	95001
104	7161	95146
105	7230	95083
106	7295	94979
107	7360	94868
108	7428	94797
109	7491	94668
110	7559	94590
111	7627	94524
112	7691	94405
113	7754	94272
114	7829	94289
115	7901	94271
116	8211	97058
117	8385	98207
118	8500	98652
119	8568	98540
120	8626	98318
121	8688	98139
122	8762	98098
123	8832	98011
124	8922	98149
125	8985	97979
126	9050	97849
127	9116	97712
128	9174	97505
129	9244	97417
130	9314	97339
131	9380	97217
132	9440	97033
133	9510	96953
134	9579	96858
135	9641	96693
136	9711	96616
137	9780	96526
138	9844	96393
139	9919	96358
140	9981	96202
141	10048	96097
142	10112	95959
143	10168	95750
144	10233	95630
145	10301	95532
146	10363	95382
147	10423	95220
148	10492	95132
149	10560	95045
150	10622	94902
151	10686	94768
152	10750	94650
153	10819	94568
154	10882	94433
155	10995	94727
156	11085	94827
157	11151	94720
158	11214	94583
159	11288	94538
160	11359	94478
161	11423	94351
162	11489	94243
163	11560	94177
164	11630	94100
165	11688	93927
166	11749	93788
167	11817	93697
168	11875	93525
169	11932	93353
170	11998	93250
171	12104	93459
172	12171	93362
173	12237	93260
174	12302	93144
175	12364	93016
176	12427	92890
177	12499	92834
178	12573	92791
179	12636	92669
180	12697	92531
181	12762	92424
182	12828	92321
183	12891	92203
184	12951	92062
185	13015	91945
186	13085	91880
187	13171	91917
188	13245	91877
189	13320	91839
190	13387	91750
191	13449	91621
192	13526	91602
193	13600	91558
194	13662	91432
195	13731	91355
196	13804	91304
197	13864	91167
198	13938	91125
199	14006	91043
200	14073	90949
201	14214	91340
202	14282	91252
203	14354	91195
204	14418	91081
205	14482	90972
206	14544	90853
207	14613	90773
208	14672	90635
209	14732	90499
210	14801	90424
211	14874	90368
212	14934	90235
213	14995	90114
214	15070	90073
215	15135	89974
216	15199	89868
217	15290	89919
218	15377	89947
219	15446	89869
220	15506	89738
221	15574	89656
222	15636	89544
223	15697	89421
224	15763	89328
225	15836	89272
226	15904	89189
227	15981	89161
228	16050	89082
229	16115	88987
230	16174	88855
