iter	Passed	Remaining
0	161	322390
1	309	309606
2	454	302714
3	670	334508
4	824	328995
5	988	328608
6	1173	334077
7	1433	356825
8	1625	359552
9	1879	374030
10	2133	385861
11	2329	385863
12	2547	389443
13	2757	391203
14	2989	395549
15	3218	399037
16	3465	404235
17	3729	410632
18	3915	408262
19	4190	414844
20	4412	415804
21	4690	421746
22	4869	418544
23	5098	419786
24	5316	419973
25	5557	421905
26	5752	420344
27	5966	420202
28	6219	422724
29	6442	423076
30	6661	423093
31	6889	423715
32	7111	423912
33	7352	425131
34	7596	426517
35	7836	427539
36	8069	428120
37	8293	428221
38	8510	427931
39	8770	429754
40	8977	428947
41	9180	427987
42	9404	428012
43	9646	428847
44	9868	428737
45	10102	429156
46	10318	428753
47	10550	429052
48	10772	428919
49	10969	427798
50	11227	429050
51	11447	428825
52	11633	427357
53	11868	427701
54	12048	426074
55	12297	426900
56	12479	425399
57	12669	424208
58	12910	424733
59	13108	423831
60	13347	424291
61	13566	424052
62	13850	425860
63	14034	424532
64	14257	424443
65	14445	423295
66	14663	423055
67	14856	422102
68	15034	420753
69	15262	420800
70	15456	419950
71	15639	418799
72	15859	418659
73	16095	418906
74	16266	417501
75	16470	416953
76	16660	416077
77	16869	415692
78	17080	415346
79	17293	415054
80	17512	414896
81	17716	414403
82	17950	414600
83	18166	414375
84	18343	413275
85	18534	412499
86	18695	411092
87	18866	409926
88	19066	409388
89	19273	409027
90	19508	409248
91	19718	408945
92	19997	410053
93	20186	409308
94	20411	409295
95	20637	409317
96	20825	408570
97	20983	407260
98	21194	406972
99	21358	405820
100	21583	405808
101	21802	405692
102	22005	405291
103	22216	405019
104	22498	406040
105	22679	405236
106	22877	404747
107	23069	404143
108	23285	403969
109	23478	403403
110	23662	402686
111	23821	401566
112	24064	401863
113	24259	401342
114	24466	401041
115	24724	401562
116	24965	401801
117	25173	401498
118	25381	401202
119	25554	400351
120	25734	399623
121	25956	399567
122	26166	399305
123	26361	398822
124	26556	398341
125	26711	397277
126	26930	397168
127	27120	396643
128	27348	396653
129	27581	396747
130	27798	396604
131	27980	395959
132	28180	395590
133	28365	394997
134	28541	394299
135	28752	394081
136	28970	393957
137	29148	393291
138	29354	393005
139	29604	393315
140	29828	393274
141	30030	392930
142	30242	392723
143	30495	393058
144	30666	392314
145	30864	391939
146	31072	391680
147	31222	390706
148	31383	389866
149	31590	389610
150	31779	389144
151	31975	388758
152	32139	387981
153	32376	388092
154	32551	387465
155	32732	386909
156	32918	386424
157	33090	385775
158	33302	385594
159	33470	384907
160	33680	384707
161	33824	383765
162	34022	383427
163	34241	383335
164	34485	383520
165	34689	383252
166	34909	383170
167	35080	382543
168	35312	382583
169	35482	381962
170	35715	382009
171	35923	381788
172	36091	381152
173	36250	380427
174	36421	379825
175	36604	379355
176	36802	379042
177	37016	378902
178	37181	378259
179	37347	377619
180	37553	377399
181	37734	376926
182	37910	376414
183	38097	376009
184	38290	375660
185	38501	375491
186	38756	375751
187	38977	375677
188	39130	374952
189	39343	374802
190	39504	374156
191	39677	373632
192	39831	372925
193	40067	372995
194	40258	372647
195	40439	372203
196	40664	372171
197	40895	372193
198	41050	371516
199	41279	371518
200	41475	371213
201	41620	370464
202	41849	370462
203	42011	369870
204	42241	369872
205	42433	369541
206	42605	369038
207	42791	368661
208	43045	368874
209	43213	368346
210	43443	368341
211	43614	367846
212	43805	367517
213	43963	366911
214	44140	366464
215	44361	366390
216	44536	365938
217	44788	366113
218	45010	366040
219	45188	365616
220	45429	365693
221	45643	365562
222	45816	365093
223	46011	364806
224	46176	364283
225	46378	364048
226	46532	363443
227	46680	362794
228	46913	362812
229	47054	362116
230	47238	361753
231	47468	361743
232	47648	361355
233	47872	361297
234	48068	361024
235	48244	360604
236	48412	360131
237	48609	359876
238	48853	359960
239	49028	359542
240	49203	359127
241	49363	358598
242	49576	358462
243	49762	358123
244	49966	357924
245	50151	357583
246	50321	357138
247	50467	356529
248	50622	355984
249	50796	355573
250	51006	355420
251	51260	355570
252	51469	355403
253	51660	355117
254	51864	354915
255	52062	354678
256	52245	354333
257	52404	353830
258	52560	353311
259	52763	353112
260	52998	353119
261	53149	352573
262	53327	352206
263	53546	352108
264	53747	351893
265	53955	351724
266	54117	351255
267	54309	350987
268	54583	351241
269	54773	350955
270	54964	350680
271	55153	350388
272	55336	350061
273	55520	349738
274	55704	349417
275	55881	349055
276	56042	348593
277	56253	348450
278	56406	347938
279	56563	347464
280	56752	347181
281	56940	346892
282	57114	346518
283	57312	346294
284	57520	346130
285	57729	345976
286	57886	345502
287	58096	345353
288	58264	344951
289	58460	344714
290	58673	344581
291	58863	344312
292	59018	343841
293	59210	343581
294	59408	343360
295	59611	343166
296	59812	342963
297	59993	342648
298	60161	342254
299	60343	341947
300	60485	341411
301	60635	340923
302	60827	340675
303	61051	340601
304	61207	340154
305	61361	339696
306	61569	339536
307	61718	339051
308	61936	338947
309	62116	338632
310	62301	338349
311	62452	337885
312	62676	337809
313	62854	337492
314	63089	337479
315	63236	336992
316	63411	336660
317	63580	336296
318	63800	336203
319	63959	335789
320	64173	335661
321	64388	335541
322	64541	335096
323	64787	335133
324	64978	334889
325	65153	334559
326	65314	334164
327	65511	333947
328	65681	333597
